site,station_code,date_sampled,REGsites,WBID,"2, 4-D_1",Aceta_1,Alkalinity_1,ATEMP_1,BacR_1,Bentazon_1,Carbamazepine_1,CHLa_C_1,CHLa_C_2,CHLa_UnC_1,CHLa_UnC_2,CHLb_Tri_N_1,CHLb_Tri_N_2,CHLc_Tri_N_1,CHLc_Tri_N_2,DG3_1,Diuron_1,DO_1,DO_p_1,DTKN_1,DTKN_2,DTKN_3,ENTERO_1,FECCOL_1,Fenuron_1,Fluoride_1,Fluridone_1,GFD_1,GULL2_1,HF183_1,Hydrocodone_1,Ibuprofen_1,Imazapyr_1,Imidacloprid_1,Linuron_1,MCPP_1,Naproxen_1,NH4_N_1,NH4_N_2,NH4_N_3,NO23F_1,OD664b/OD665a_1,OD664b/OD665a_2,pH_1,PHEA_1,PHEA_2,Primidone_1,Pyraclostrobin_1,SALT_1,SECCHI_1,SpCond_1,Sucra_1,TKN_1,TN_1,TP_1,TP_2,TP_3,Triclopyr_1,TSS_1,Turbidity_1,TURBIDITY_1,W-CL-IC_1,W-COLOR_1,W-SO4-IC_1,W-TDS_1,W-TOC_1,WDEPTH_1,WIND_D_1,WIND_S_1,WTEM_1
Micklers,GTMMKNUT,2017-07-20T12:05:00Z,Excluded,Lake,NA,NA,NA,30,NA,NA,NA,2.8,NA,4.1,NA,1,NA,1,NA,NA,NA,1.62,NA,NA,NA,NA,67,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,1.41,NA,7.5,2,NA,NA,NA,0.46,NA,948,NA,1.11,1.12,0.0425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,29.4
Micklers,GTMMKNUT,2017-08-03T11:24:00Z,Excluded,Lake,NA,NA,NA,31.27777777777778,NA,NA,NA,3.8,NA,4.2,NA,1.3,NA,1.3,NA,NA,NA,37.22,NA,NA,NA,NA,110,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,1.62,NA,7.53,1.3,NA,NA,NA,0.34,NA,708,NA,1.08,1.08,0.0827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.605459999999999,26.9
Micklers,GTMMKNUT,2017-09-20T09:06:00Z,Excluded,Lake,NA,NA,NA,25.555555555555557,NA,NA,NA,13.7,NA,14.3,NA,2.9,NA,2.9,NA,NA,NA,0.24,2.96,NA,NA,NA,59,490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,1.69,NA,6.38,2.9,NA,NA,NA,0.32,0.723,666,NA,1.42,1.42,0.242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3421399999999999,26.1
Micklers,GTMMKNUT,2017-10-18T12:52:00Z,Excluded,Lake,NA,NA,NA,28.83333333333334,NA,NA,NA,10.1,NA,12.2,NA,2,NA,2,NA,NA,NA,5.16,61,NA,NA,NA,10,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.015,1.55,NA,8.42,2.8,NA,NA,NA,0.34,NA,693,NA,1.15,1.16,0.148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4738,22.9
Micklers,GTMMKNUT,2017-11-02T13:11:00Z,Excluded,Lake,NA,NA,NA,27.2,NA,NA,NA,5.8,NA,7.6,NA,1.2,NA,1.2,NA,NA,NA,4.02,43,NA,NA,NA,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.013,1.49,NA,8.19,2.5,NA,NA,NA,0.37,NA,752,NA,0.96,0.97,0.076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,19.4
Micklers,GTMMKNUT,2017-12-13T15:15:00Z,Excluded,Lake,NA,NA,NA,24.555555555555557,NA,NA,NA,2.3,NA,3.5,NA,2.3,NA,2.3,NA,NA,NA,10.32,95.67,0.71,NA,NA,10,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.012,NA,NA,0.028,1.39,NA,8.11,2.3,NA,NA,NA,0.34,NA,689,NA,0.9,0.93,0.0725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2369,12.3
Micklers,GTMMKNUT,2018-01-17T13:46:00Z,Excluded,Lake,NA,NA,NA,17,NA,NA,NA,1.6,NA,1.6,NA,1.1,NA,1.1,NA,NA,NA,10.61,97.3,0.98,NA,NA,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.038,NA,NA,0.033,1.73,NA,7.9,1.1,NA,NA,NA,0.39,NA,798,NA,1.25,1.28,0.111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.1845,11.7
Micklers,GTMMKNUT,2018-02-14T11:38:00Z,Excluded,Lake,NA,NA,NA,15,NA,NA,NA,6.1,NA,8.6,NA,2.5,NA,2.5,NA,NA,NA,7.48,75.5,0.97,NA,NA,10,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.087,NA,NA,0.055,1.44,NA,7.58,3.6,NA,NA,NA,0.33,NA,678,NA,0.92,0.97,0.179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.710699999999999,15.2
Micklers,GTMMKNUT,2018-03-28T12:10:00Z,Excluded,Lake,NA,NA,NA,27.2,NA,NA,NA,8.7,NA,14.1,NA,1.5,NA,1.5,NA,NA,NA,5.05,56.3,1.3,NA,NA,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.068,NA,NA,0.015,1.36,NA,7.95,8.4,NA,NA,NA,0.43,NA,865,NA,1.18,1.19,0.167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,19.9
Micklers,GTMMKNUT,2018-04-24T10:56:00Z,Excluded,Lake,NA,NA,NA,22.9,NA,NA,NA,3.2,NA,5,NA,1.1,NA,1.1,NA,NA,NA,5.36,62.1,1.07,NA,NA,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.044,NA,NA,0.014,1.38,NA,7.43,2.7,NA,NA,NA,0.33,NA,676,NA,0.9,0.91,0.165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,21.8
Micklers,GTMMKNUT,2018-05-30T14:30:00Z,Excluded,Lake,NA,NA,NA,25.2,NA,NA,NA,2.4,NA,3,NA,2,NA,2,NA,NA,NA,6.02,75.4,0.87,NA,NA,10,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.148,NA,NA,0.01,1.52,NA,7.36,2,NA,NA,NA,0.35,NA,718,NA,0.99,1,0.095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,26.7
Micklers,GTMMKNUT,2018-06-11T11:47:00Z,Excluded,Lake,NA,NA,NA,30.5,NA,NA,NA,2.1,NA,2.6,NA,2,NA,2,NA,NA,NA,6.31,80.1,0.92,NA,NA,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.027,NA,NA,0.01,1.51,NA,7.47,2,NA,NA,NA,0.36,NA,745,NA,0.87,0.87,0.0896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,27.1
Micklers,GTMMKNUT,2018-07-11T15:20:00Z,Excluded,Lake,NA,NA,NA,31.6,NA,NA,NA,2.5,NA,3.7,NA,1.1,NA,1.1,NA,NA,NA,8.8,120.7,0.96,NA,NA,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.024,NA,NA,0.01,1.41,NA,7.85,1.8,NA,NA,NA,0.38,NA,780,NA,2.33,2.33,0.035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0304878048780488,NA,1.5,31.1
Micklers,GTMMKNUT,2018-08-08T12:41:00Z,Excluded,Lake,NA,NA,NA,32.4,NA,NA,NA,3.8,NA,4.4,NA,2,NA,2,NA,NA,NA,4.58,61.7,1.38,NA,NA,63,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.027,NA,NA,0.01,1.59,NA,7.22,2,NA,NA,NA,0.37,NA,759,NA,0.99,1,0.078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9146341463414634,NA,0.8,31
Micklers,GTMMKNUT,2018-09-06T14:57:00Z,Excluded,Lake,NA,NA,NA,29.3,NA,NA,NA,3.1,NA,5.7,NA,2.5,NA,4.1,NA,NA,NA,5.31,70.1,0.71,NA,NA,41,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.041,NA,NA,0.01,1.28,NA,7.27,4.6,NA,NA,NA,0.3,NA,620,NA,0.86,0.86,0.0625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.128048780487805,NA,2.5,29.9
Micklers,GTMMKNUT,2018-10-22T13:55:00Z,Excluded,Lake,NA,NA,NA,25.7,NA,NA,NA,3,NA,3.3,NA,2.3,NA,2.3,NA,NA,NA,3.08,35.1,1.08,NA,NA,20,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,NA,NA,0.015,1.6,NA,7.19,2.3,NA,NA,NA,0.38,NA,784,NA,1.03,1.04,0.0281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0365853658536586,NA,1.6,21.2
