site,station_code,date_sampled,activity_type,latitude,longitude,component_short,component_long,result,remark,units,mdl,pql,mrl,dilution,date_received,date_analyzed,test_comments,analysis_method,lab_id,lab_accreditation_authority,laboratory,rq_number,WBID,REGsites
FDEP Lake 1,GTMGL1NUT,2018-10-22T11:50:00Z,Sample,NA,NA,FECCOL,"Coliform, Fecal",30,B,CFU/100mL,NA,NA,NA,NA,NA,NA,NA,SM 9222 D,E82502,NELAC,ALS Environmental,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-08-08T10:23:00Z,Field,NA,NA,DO,Dissolved oxygen,4.66,NA,mg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-10-22T11:50:00Z,Field,NA,NA,SpCond,Specific Conductance,846,NA,uS/cm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-10-22T11:50:00Z,Field,NA,NA,pH,pH,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-10-22T11:50:00Z,Field,NA,NA,DO,Dissolved oxygen,3.9,NA,mg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-10-22T11:50:00Z,Field,NA,NA,SALT,Salinity,0.42,NA,ppt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-08-08T10:23:00Z,Sample,NA,NA,ENTERO,Enterococcus,2600,NA,MPN/100mL,NA,NA,NA,NA,NA,NA,NA,ASTM D6503,E82502,NELAC,ALS Environmental,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-08-08T10:23:00Z,Sample,NA,NA,CHLa_UnC,"Chlorophyll a, Uncorrected (Trichromatic)",6.6,NA,ug/L,NA,NA,NA,NA,NA,NA,NA,SM 10200 H,E82502,NELAC,ALS Environmental,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-10-22T11:50:00Z,Field,NA,NA,SECCHI,Secchi Disk,NA,NA,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-08-08T10:23:00Z,Sample,NA,NA,CHLb_Tri_N,Chlorophyll b (Trichromatic),1.4,U,ug/L,NA,NA,NA,NA,NA,NA,NA,SM 10200 H,E82502,NELAC,ALS Environmental,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-08-08T10:23:00Z,Sample,NA,NA,CHLa_C,"Chlorophyll a, Corrected (Monochromatic)",6.1,NA,ug/L,NA,NA,NA,NA,NA,NA,NA,SM 10200 H,E82502,NELAC,ALS Environmental,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-08-08T10:23:00Z,Sample,NA,NA,PHEA,Pheophytin a,1.4,U,ug/L,NA,NA,NA,NA,NA,NA,NA,SM 10200 H,E82502,NELAC,ALS Environmental,NA,Lake,Lake
