site,alternate_name,site_friendly,station_code,lat,long,start_date,end,wbid,location
MICKLERS,N,Micklers,GTMMKNUT,30.16073611,-81.36027778,,N,Lake,water_control
DEPGL1,N,GL1,GTMGL1NUT,30.1504,-81.3604,,N,Lake,open_water
DEPGL2,N,GL2,GTMGL2NUT,30.1161,-81.3511,,N,Lake,open_water
LAKE MIDDLE,DEPGL3,Lake Middle,GTMLMNUT,30.08302,-81.34286,,N,Lake,open_water
LAKE MIDDLE,N,Lake Middle,GTMOLNUT,,,,Y,Lake,open_water
DEPGL4,N,GL4,GTMGL4NUT,30.0451,-81.3351,,N,Lake,open_water
LAKE SOUTH,N,Lake South,GTMDNNUT,,,,Y,Lake,water_control
LAKE SOUTH,N,Lake South,GTMLSNUT,30.023763,-81.327928,,N,Lake,water_control
RIVER NORTH,N,River North,GTMDSNUT,,,,Y,River,water_control
RIVER NORTH,N,River North,GTMRNNUT,30.022421,-81.327722,,N,River,water_control
DEPGR1,N,GR1,GTMGR1NUT,30.0168,-81.3276,,N,River,open_water
GUANA RIVER,DEPGR2,Guana River,GTMGRNUT,29.998466,-81.326133,,N,River,open_water
DEPGR3,N,GR3,GTMGR3NUT,29.9921,-81.3214,,N,River,open_water
