site,latitude,longitude,station_code,date_sampled,sitetype,WBID,row,WIND_S,DO,DO_p,Bentazon,SpCond,pH,WTEM,CHLa_UnC,ATEMP,CHLc_Tri_N,WDEPTH,Fluoride,W-TOC,PHEA,Sucra,DTKN,MCPP,Triclopyr,Imidacloprid,Diuron,Pyraclostrobin,Primidone,Linuron,Aceta,Fenuron,Imazapyr,Carbamazepine,Fluridone,Hydrocodone,Naproxen,Ibuprofen,SALT,NH4_N,CHLa_C,NO23F,TKN,OD664b/OD665a,TP,ENTERO,FECCOL,CHLb_Tri_N,TN,Turbidity,TSS,Alkalinity,HF183,GULL2,GFD,BacR,DG3,Bromide,ECOLI,"2, 4-D",W-TDS,W-BR-IC,W-COLOR,W-CL-IC,W-SO4-IC,SECCHI
GL1, , ,GTMGL1NUT,2019-09-10 12:15:00,OpenWater,Lake,1,1.8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
GL1, , ,GTMGL1NUT,2019-12-16 10:53:00,OpenWater,Lake,2, ,6.93, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
GL1, , ,GTMGL1NUT,2019-12-16 10:53:00,OpenWater,Lake,3, , ,71.2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
GL1,30.1504,-81.3604,GTMGL1NUT,2018-09-06 11:32:00,OpenWater,Lake,4, , , ,0.12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
GL1, , ,GTMGL1NUT,2019-09-10 12:15:00,OpenWater,Lake,8, , , , ,733, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
GL1, , ,GTMGL1NUT,2019-09-10 12:15:00,OpenWater,Lake,9, , , , , ,7.14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
GL1, , ,GTMGL1NUT,2019-09-10 12:15:00,OpenWater,Lake,10, ,2.45, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
GL1,30.1504,-81.3604,GTMGL1NUT,2018-12-05 11:57:00,OpenWater,Lake,11, , , , ,705, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
GL1,30.1504,-81.3604,GTMGL1NUT,2018-09-06 11:32:00,OpenWater,Lake,12, , , , , ,7.37, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
GL1,30.1504,-81.3604,GTMGL1NUT,2018-11-07 12:03:00,OpenWater,Lake,14, , , , , , ,24.7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
GL1,30.1504,-81.3604,GTMGL1NUT,2018-11-07 12:03:00,OpenWater,Lake,15, , , , ,906, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
GL1,30.1504,-81.3604,GTMGL1NUT,2018-11-07 12:03:00,OpenWater,Lake,16, , , , , ,7.8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
GL1,30.1504,-81.3604,GTMGL1NUT,2018-11-07 12:03:00,OpenWater,Lake,17, ,5.34, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
GL1,30.1504,-81.3604,GTMGL1NUT,2019-04-02 12:36:00,OpenWater,Lake,18, , , , , , , ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
GL1, , ,GTMGL1NUT,2019-10-14 13:30:00,OpenWater,Lake,19, , , , , , , , ,29.3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
GL1,30.1504,-81.3604,GTMGL1NUT,2019-04-02 12:36:00,OpenWater,Lake,20, , , , , , , , , ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
GL1,30.1504,-81.3604,GTMGL1NUT,2018-09-06 11:32:00,OpenWater,Lake,21,3.3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
GL1,30.1504,-81.3604,GTMGL1NUT,2019-04-02 12:36:00,OpenWater,Lake,22, , , , ,1036, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
GL1, , ,GTMGL1NUT,2019-10-14 13:30:00,OpenWater,Lake,23, , , , , , , , , , ,0.7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
GL1, , ,GTMGL1NUT,2019-10-14 13:30:00,OpenWater,Lake,24, , , , , , ,26, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
GL1,30.1504,-81.3604,GTMGL1NUT,2018-09-06 11:32:00,OpenWater,Lake,25, , , , , , , , , , , ,0.2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
GL1,30.1504,-81.3604,GTMGL1NUT,2018-09-06 11:32:00,OpenWater,Lake,26, , , , , , , , , , , , ,20, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
GL1,30.1504,-81.3604,GTMGL1NUT,2018-08-08 10:23:00,OpenWater,Lake,27, , , , , , , , , , , , , ,1.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
GL1, , ,GTMGL1NUT,2019-12-16 10:53:00,OpenWater,Lake,28, , , , ,753, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
GL1, , ,GTMGL1NUT,2019-12-16 10:53:00,OpenWater,Lake,29, , , , , ,7.33, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
GL1,30.1504,-81.3604,GTMGL1NUT,2018-09-06 11:32:00,OpenWater,Lake,30, , , , , , , , , , , , , , ,1.6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
GL1, , ,GTMGL1NUT,2019-11-12 13:05:00,OpenWater,Lake,31, , , , , , , , , , , , , , , ,1.33, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
GL1,30.1504,-81.3604,GTMGL1NUT,2018-09-06 11:32:00,OpenWater,Lake,32, , , , , , , , , , , , , , , , ,0.002, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
GL1,30.1504,-81.3604,GTMGL1NUT,2018-09-06 11:32:00,OpenWater,Lake,33, , , , , , , , , , , , , , , , , ,0.004, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
GL1,30.1504,-81.3604,GTMGL1NUT,2018-09-06 11:32:00,OpenWater,Lake,34, , , , , , , , , , , , , , , , , , ,0.0071, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
GL1,30.1504,-81.3604,GTMGL1NUT,2018-09-06 11:32:00,OpenWater,Lake,35, , , , , , , , , , , , , , , , , , , ,0.019, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
GL1,30.1504,-81.3604,GTMGL1NUT,2018-09-06 11:32:00,OpenWater,Lake,36, , , , , , , , , , , , , , , , , , , , ,0.002, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
GL1,30.1504,-81.3604,GTMGL1NUT,2018-09-06 11:32:00,OpenWater,Lake,37, , , , , , , , , , , , , , , , , , , , , ,0.004, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
GL1,30.1504,-81.3604,GTMGL1NUT,2018-09-06 11:32:00,OpenWater,Lake,38, , , , , , , , , , , , , , , , , , , , , , ,0.004, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
GL1,30.1504,-81.3604,GTMGL1NUT,2018-09-06 11:32:00,OpenWater,Lake,39, , , , , , , , , , , , , , , , , , , , , , , ,0.008, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
GL1,30.1504,-81.3604,GTMGL1NUT,2018-09-06 11:32:00,OpenWater,Lake,40, , , , , , , , , , , , , , , , , , , , , , , , ,0.016, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
GL1,30.1504,-81.3604,GTMGL1NUT,2018-09-06 11:32:00,OpenWater,Lake,41, , , , , , , , , , , , , , , , , , , , , , , , , ,0.12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
GL1,30.1504,-81.3604,GTMGL1NUT,2018-09-06 11:32:00,OpenWater,Lake,42, , , , , , , , , , , , , , , , , , , , , , , , , , ,0.00097, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
GL1,30.1504,-81.3604,GTMGL1NUT,2018-09-06 11:32:00,OpenWater,Lake,43, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.11, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
GL1,30.1504,-81.3604,GTMGL1NUT,2018-09-06 11:32:00,OpenWater,Lake,44, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8e-04, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
GL1,30.1504,-81.3604,GTMGL1NUT,2018-09-06 11:32:00,OpenWater,Lake,45, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.008, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
GL1,30.1504,-81.3604,GTMGL1NUT,2018-09-06 11:32:00,OpenWater,Lake,46, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.02, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
GL1,30.1504,-81.3604,GTMGL1NUT,2018-11-07 12:03:00,OpenWater,Lake,47, , ,64.3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
GL1,30.1504,-81.3604,GTMGL1NUT,2018-11-07 12:03:00,OpenWater,Lake,48, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.44, , , , , , , , , , , , , , , , , , , , , , , , , , , 
GL1,30.1504,-81.3604,GTMGL1NUT,2018-11-07 12:03:00,OpenWater,Lake,49, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.079, , , , , , , , , , , , , , , , , , , , , , , , , , 
GL1,30.1504,-81.3604,GTMGL1NUT,2018-11-07 12:03:00,OpenWater,Lake,50, , , , , , , , , , , , , , , ,1.12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
GL1,30.1504,-81.3604,GTMGL1NUT,2018-11-07 12:03:00,OpenWater,Lake,51, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.8, , , , , , , , , , , , , , , , , , , , , , , , , 
GL1,30.1504,-81.3604,GTMGL1NUT,2019-04-02 12:36:00,OpenWater,Lake,52, ,5.39, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
GL1,30.1504,-81.3604,GTMGL1NUT,2018-11-07 12:03:00,OpenWater,Lake,53, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.01, , , , , , , , , , , , , , , , , , , , , , , , 
GL1,30.1504,-81.3604,GTMGL1NUT,2019-04-02 12:36:00,OpenWater,Lake,54, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.51, , , , , , , , , , , , , , , , , , , , , , , , , , , 
GL1,30.1504,-81.3604,GTMGL1NUT,2018-11-07 12:03:00,OpenWater,Lake,55, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.16, , , , , , , , , , , , , , , , , , , , , , , 
GL1,30.1504,-81.3604,GTMGL1NUT,2018-11-07 12:03:00,OpenWater,Lake,56, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.48, , , , , , , , , , , , , , , , , , , , , , 
GL1,30.1504,-81.3604,GTMGL1NUT,2018-11-07 12:03:00,OpenWater,Lake,57, , , , , , , , , , , , , ,2.5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
GL1,30.1504,-81.3604,GTMGL1NUT,2018-11-07 12:03:00,OpenWater,Lake,58, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.0709, , , , , , , , , , , , , , , , , , , , , 
GL1,30.1504,-81.3604,GTMGL1NUT,2018-11-07 12:03:00,OpenWater,Lake,59, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10, , , , , , , , , , , , , , , , , , , , 
GL1,30.1504,-81.3604,GTMGL1NUT,2018-11-07 12:03:00,OpenWater,Lake,60, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,370, , , , , , , , , , , , , , , , , , , 
