"","site","date_sampled","f_record","x2_4_d","f_2_4_d","aceta","f_aceta","alkalinity","f_alkalinity","atemp","f_atemp","bac_r","f_bac_r","bentazon","f_bentazon","carbamazepine","f_carbamazepine","ch_la_c","f_ch_la_c","ch_la_un_c","f_ch_la_un_c","ch_lb_tri_n","f_ch_lb_tri_n","ch_lc_tri_n","f_ch_lc_tri_n","phea","f_phea","dg3","f_dg3","diuron","f_diuron","do","f_do","do_p","f_do_p","entero","f_entero","feccol","f_feccol","fenuron","f_fenuron","fluoride","f_fluoride","fluridone","f_fluridone","gfd","f_gfd","gull2","f_gull2","hf183","f_hf183","hydrocodone","f_hydrocodone","ibuprofen","f_ibuprofen","imazapyr","f_imazapyr","imidacloprid","f_imidacloprid","linuron","f_linuron","mcpp","f_mcpp","naproxen","f_naproxen","nh4_n","f_nh4_n","no23f","f_no23f","tn_calc","f_tn_calc","din","f_din","ton","f_ton","don","f_don","tkn","f_tkn","tn","f_tn","dtkn","f_dtkn","od664b_od665a","f_od664b_od665a","p_h","f_p_h","primidone","f_primidone","pyraclostrobin","f_pyraclostrobin","salt","f_salt","secchi","f_secchi","sp_cond","f_sp_cond","sucra","f_sucra","tp","f_tp","triclopyr","f_triclopyr","tss","f_tss","turbidity","f_turbidity","w_br_ic","f_w_br_ic","w_cl_ic","f_w_cl_ic","w_color","f_w_color","w_so4_ic","f_w_so4_ic","w_tds","f_w_tds","w_toc","f_w_toc","wdepth","f_wdepth","wind_d","f_wind_d","wind_s","f_wind_s","wtem","f_wtem"
"1","Micklers","2017-07-20 12:05:00"," "," "," "," "," "," "," ","30"," "," "," "," "," "," "," ","2.8"," ","4.1"," ","1","U","1","U","2"," "," "," "," "," ","1.62","Potential sensor issues"," "," ","67"," ","86"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0.01","U","1.12"," "," "," "," "," "," "," ","1.11"," ","1.12"," "," "," ","1.41"," ","7.5"," "," "," "," "," ","0.46"," "," "," ","948"," "," "," ","0.0425"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","1.8"," ","29.4"," "
"2","Micklers","2017-08-03 11:24:00"," "," "," "," "," "," "," ","31.2777777777778","calculated from F"," "," "," "," "," "," ","3.8"," ","4.2"," ","1.3","U","1.3","U","1.3","U"," "," "," "," ","37.22","Potential sensor issues"," "," ","110"," ","180","B"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0.01","U","1.09"," "," "," "," "," "," "," ","1.08"," ","1.08"," "," "," ","1.62"," ","7.53"," "," "," "," "," ","0.34"," "," "," ","708"," "," "," ","0.0827"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","7.60546","calculated from mph (mph*2.2369)","26.9"," "
"3","Micklers","2017-09-20 09:06:00"," "," "," "," "," "," "," ","25.5555555555556","calculated from F"," "," "," "," "," "," ","13.7"," ","14.3"," ","2.9","U","2.9","U","2.9","U"," "," "," "," ","0.24"," ","2.96","calculated using https://www.loligosystems.com/convert-oxygen-units?menu=81","59"," ","490"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0.01","U","1.43"," "," "," "," "," "," "," ","1.42"," ","1.42"," "," "," ","1.69"," ","6.38"," "," "," "," "," ","0.32"," ","0.723"," ","666"," "," "," ","0.242"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","1.34214","calculated from mph (mph*2.2369)","26.1"," "
"4","Micklers","2017-10-18 12:52:00"," "," "," "," "," "," "," ","28.8333333333333","calculated from F"," "," "," "," "," "," ","10.1"," ","12.2"," ","2","U","2","U","2.8"," "," "," "," "," ","5.16"," ","61"," ","10"," ","120","B"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0.015"," ","1.165"," "," "," "," "," "," "," ","1.15"," ","1.16"," "," "," ","1.55"," ","8.42"," "," "," "," "," ","0.34"," "," "," ","693"," "," "," ","0.148"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","4.4738","calculated from mph (mph*2.2369)","22.9"," "
"5","Micklers","2017-11-02 13:11:00"," "," "," "," "," "," "," ","27.2"," "," "," "," "," "," "," ","5.8"," ","7.6"," ","1.2","U","1.2","U","2.5"," "," "," "," "," ","4.02"," ","43"," ","10","U","10","B"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0.013"," ","0.973"," "," "," "," "," "," "," ","0.96"," ","0.97"," "," "," ","1.49"," ","8.19"," "," "," "," "," ","0.37"," "," "," ","752"," "," "," ","0.076"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","1.5"," ","19.4"," "
"6","Micklers","2017-12-13 15:15:00"," "," "," "," "," "," "," ","24.5555555555556","calculated from F"," "," "," "," "," "," ","2.3"," ","3.5"," ","2.3","U","2.3","U","2.3","U"," "," "," "," ","10.32"," ","95.67"," ","10","U","26","B"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0.012"," ","0.028"," ","0.928"," ","0.04"," ","0.888"," ","0.698"," ","0.9"," ","0.93"," ","0.71"," ","1.39"," ","8.11"," "," "," "," "," ","0.34"," "," "," ","689"," "," "," ","0.0725"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","2.2369","calculated from mph (mph*2.2369)","12.3"," "
"7","Micklers","2018-01-17 13:46:00"," "," "," "," "," "," "," ","17","calculated from F"," "," "," "," "," "," ","1.6"," ","1.6"," ","1.1","U","1.1","U","1.1","U"," "," "," "," ","10.61"," ","97.3"," ","10"," ","2","U"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0.038"," ","0.033"," ","1.283"," ","0.071"," ","1.212"," ","0.942"," ","1.25"," ","1.28"," ","0.98"," ","1.73"," ","7.9"," "," "," "," "," ","0.39"," "," "," ","798"," "," "," ","0.111"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","11.1845","calculated from mph (mph*2.2369)","11.7"," "
"8","Micklers","2018-02-14 11:38:00"," "," "," "," "," "," "," ","15","calculated from F"," "," "," "," "," "," ","6.1"," ","8.6"," ","2.5","U","2.5","U","3.6"," "," "," "," "," ","7.48"," ","75.5"," ","10"," ","22","B"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0.087"," ","0.055"," ","0.975"," ","0.142"," ","0.833"," ","0.883"," ","0.92"," ","0.97"," ","0.97"," ","1.44"," ","7.58"," "," "," "," "," ","0.33"," "," "," ","678"," "," "," ","0.179"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","6.7107","calculated from mph (mph*2.2369)","15.2"," "
"9","Micklers","2018-03-28 12:10:00"," "," "," "," "," "," "," ","27.2"," "," "," "," "," "," "," ","8.7"," ","14.1"," ","1.5","U","1.5","U","8.4"," "," "," "," "," ","5.05"," ","56.3"," ","10"," ","10","B"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0.068"," ","0.015"," ","1.195"," ","0.083"," ","1.112"," ","1.232"," ","1.18"," ","1.19"," ","1.3"," ","1.36","V","7.95"," "," "," "," "," ","0.43"," "," "," ","865"," "," "," ","0.167"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","1.2"," ","19.9"," "
"10","Micklers","2018-04-24 10:56:00"," "," "," "," "," "," "," ","22.9"," "," "," "," "," "," "," ","3.2"," ","5"," ","1.1","U","1.1","U","2.7"," "," "," "," "," ","5.36"," ","62.1"," ","20"," ","20","B"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0.044"," ","0.014"," ","0.914"," ","0.058"," ","0.856"," ","1.026"," ","0.9"," ","0.91"," ","1.07"," ","1.38"," ","7.43"," "," "," "," "," ","0.33"," "," "," ","676"," "," "," ","0.165"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0.9"," ","21.8"," "
